;id_station;nom_station_commune;nom_station;commune;espece;abreviation;nb_individus;,id_station,nom_station_commune,commune,espece,abreviation,nb_individus;;;;;;;;annee
2012;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Bouviere;BOU;2;2012,id_station,Station numero 1 - MEUDON,MEUDON,Bouviere,BOU,2;;;;;;;;2012
2013;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Bouviere;BOU;4;2013,id_station,Station numero 1 - MEUDON,MEUDON,Bouviere,BOU,4;;;;;;;;2013
2022;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Bouviere;BOU;1;2022,id_station,Station numero 1 - MEUDON,MEUDON,Bouviere,BOU,1;;;;;;;;2022
2009;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;10;2009,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,10;;;;;;;;2009
2012;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;19;2012,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,19;;;;;;;;2012
2014;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;42;2014,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,42;;;;;;;;2014
2016;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;2;2016,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,2;;;;;;;;2016
2010;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chevesne;CHE;12;2010,id_station,Station numero 1 - MEUDON,MEUDON,Chevesne,CHE,12;;;;;;;;2010
2019;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chevesne;CHE;35;2019,id_station,Station numero 1 - MEUDON,MEUDON,Chevesne,CHE,35;;;;;;;;2019
2022;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chevesne;CHE;10;2022,id_station,Station numero 1 - MEUDON,MEUDON,Chevesne,CHE,10;;;;;;;;2022
2014;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;163;2014,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,163;;;;;;;;2014
2020;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;105;2020,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,105;;;;;;;;2020
2019;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Goujon;GOU;6;2019,id_station,Station numero 1 - MEUDON,MEUDON,Goujon,GOU,6;;;;;;;;2019
2020;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Hotu;HOT;4;2020,id_station,Station numero 1 - MEUDON,MEUDON,Hotu,HOT,4;;;;;;;;2020
2016;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche commune;PER;2;2016,id_station,Station numero 1 - MEUDON,MEUDON,Perche commune,PER,2;;;;;;;;2016
2009;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Rotengle;ROT;4;2009,id_station,Station numero 1 - MEUDON,MEUDON,Rotengle,ROT,4;;;;;;;;2009
