nom_station_commune,espece
Station numero 1 - MEUDON,Bouviere
Station numero 1 - MEUDON,Bouviere
Station numero 1 - MEUDON,Bouviere
Station numero 1 - MEUDON,Chabot
Station numero 1 - MEUDON,Chabot
Station numero 1 - MEUDON,Chabot
Station numero 1 - MEUDON,Chabot
Station numero 1 - MEUDON,Chevesne
Station numero 1 - MEUDON,Chevesne
Station numero 1 - MEUDON,Chevesne
Station numero 1 - MEUDON,Gardon
Station numero 1 - MEUDON,Gardon
Station numero 1 - MEUDON,Goujon
Station numero 1 - MEUDON,Hotu
Station numero 1 - MEUDON,Perche commune
Station numero 1 - MEUDON,Rotengle
Station numero 2 - SEVRES,Ablette
Station numero 2 - SEVRES,Ablette
Station numero 2 - SEVRES,Barbeau fluviatile
Station numero 2 - SEVRES,Barbeau fluviatile
Station numero 2 - SEVRES,Breme sp.
Station numero 2 - SEVRES,Chabot
Station numero 2 - SEVRES,Chevesne
Station numero 2 - SEVRES,Chevesne
Station numero 2 - SEVRES,Gardon
Station numero 2 - SEVRES,Goujon
Station numero 2 - SEVRES,Goujon
Station numero 2 - SEVRES,Goujon
Station numero 2 - SEVRES,Hotu
Station numero 2 - SEVRES,Perche commune
Station numero 2 - SEVRES,Perche commune
Station numero 2 - SEVRES,Perche soleil
Station numero 2 - SEVRES,Perche soleil
Station numero 2 - SEVRES,Rotengle
Station numero 2 - SEVRES,Rotengle
Station numero 2 - SEVRES,Rotengle
Station numero 2 - SEVRES,Rotengle
Station numero 2 - SEVRES,Vandoise
Station numero 2 - SEVRES,Vandoise
Station numero 3 - BOULOGNE BILLANCOURT,Ablette
Station numero 3 - BOULOGNE BILLANCOURT,Barbeau fluviatile
Station numero 3 - BOULOGNE BILLANCOURT,Breme sp.
Station numero 3 - BOULOGNE BILLANCOURT,Chabot
Station numero 3 - BOULOGNE BILLANCOURT,Chabot
Station numero 3 - BOULOGNE BILLANCOURT,Goujon
Station numero 3 - BOULOGNE BILLANCOURT,Perche commune
Station numero 3 - BOULOGNE BILLANCOURT,Perche commune
Station numero 3 - BOULOGNE BILLANCOURT,Perche commune
Station numero 3 - BOULOGNE BILLANCOURT,Rotengle
Station numero 3 - BOULOGNE BILLANCOURT,Silure glane
Station numero 4 - NEUILLY SUR SEINE,Ablette
Station numero 4 - NEUILLY SUR SEINE,Brochet
Station numero 4 - NEUILLY SUR SEINE,Chevesne
Station numero 4 - NEUILLY SUR SEINE,Chevesne
Station numero 4 - NEUILLY SUR SEINE,Gardon
Station numero 4 - NEUILLY SUR SEINE,Gardon
Station numero 4 - NEUILLY SUR SEINE,Perche commune
Station numero 4 - NEUILLY SUR SEINE,Perche commune
Station numero 4 - NEUILLY SUR SEINE,Perche commune
Station numero 4 - NEUILLY SUR SEINE,Rotengle
Station numero 4 - NEUILLY SUR SEINE,Rotengle
Station numero 4 - NEUILLY SUR SEINE,Silure
Station numero 5 - LEVALLOIS PERRET,Ablette
Station numero 5 - LEVALLOIS PERRET,Ablette
Station numero 5 - LEVALLOIS PERRET,Barbeau fluviatile
Station numero 5 - LEVALLOIS PERRET,Barbeau fluviatile
Station numero 5 - LEVALLOIS PERRET,Chevesne
Station numero 5 - LEVALLOIS PERRET,Chevesne
Station numero 5 - LEVALLOIS PERRET,Gardon
Station numero 5 - LEVALLOIS PERRET,Gardon
Station numero 5 - LEVALLOIS PERRET,Perche commune
Station numero 6 - VILLENEUVE LA GARENNE,Ablette
Station numero 6 - VILLENEUVE LA GARENNE,Barbeau fluviatile
Station numero 6 - VILLENEUVE LA GARENNE,Barbeau fluviatile
Station numero 6 - VILLENEUVE LA GARENNE,Chabot
Station numero 6 - VILLENEUVE LA GARENNE,Chabot
Station numero 6 - VILLENEUVE LA GARENNE,Chevesne
Station numero 6 - VILLENEUVE LA GARENNE,Gardon
Station numero 6 - VILLENEUVE LA GARENNE,Goujon
Station numero 6 - VILLENEUVE LA GARENNE,Goujon
Station numero 6 - VILLENEUVE LA GARENNE,Goujon
Station numero 6 - VILLENEUVE LA GARENNE,Hotu
Station numero 6 - VILLENEUVE LA GARENNE,Perche commune
Station numero 6 - VILLENEUVE LA GARENNE,Perche commune
Station numero 6 - VILLENEUVE LA GARENNE,Perche commune
Station numero 6 - VILLENEUVE LA GARENNE,Rotengle
Station numero 6 - VILLENEUVE LA GARENNE,Vandoise
Station numero 7 - NANTERRE,Ablette
Station numero 7 - NANTERRE,Barbeau fluviatile
Station numero 7 - NANTERRE,Bouviere
Station numero 7 - NANTERRE,Chabot
Station numero 7 - NANTERRE,Chabot
Station numero 7 - NANTERRE,Chevesne
Station numero 7 - NANTERRE,Gardon
Station numero 7 - NANTERRE,Gardon
Station numero 7 - NANTERRE,Goujon
Station numero 7 - NANTERRE,Goujon
Station numero 7 - NANTERRE,Hotu
Station numero 7 - NANTERRE,Perche commune
Station numero 7 - NANTERRE,Perche commune
Station numero 1bis - ISSY LES MOULINEAUX,Ablette
Station numero 1bis - ISSY LES MOULINEAUX,Ablette
Station numero 1bis - ISSY LES MOULINEAUX,Perche commune
Station numero 1bis - ISSY LES MOULINEAUX,Perche commune
Station numero 1bis - ISSY LES MOULINEAUX,Perche soleil
Station numero 1bis - ISSY LES MOULINEAUX,Perche soleil
Station numero 1bis - ISSY LES MOULINEAUX,Rotengle
Station numero 1bis - ISSY LES MOULINEAUX,Silure glane
Station numero 6bis - NANTERRE,Chabot
Station numero 6bis - NANTERRE,Gardon
Station numero 6bis - NANTERRE,Rotengle
Station numero 6bis - NANTERRE,Vandoise
Station numero 6bis - NANTERRE,Vandoise
Station Du port Le Grand au Pont de Saint Cloud - BOULOGNE BILLANCOURT,Gardon
Station Estacade des Mariniers - GENNEVILLIERS,Vandoise
Station Entre pont de Clichy et pont de Gennevilliers - CLICHY,Gardon
Station Entre pont de Clichy et pont de Gennevilliers - CLICHY,Gobie tache noire
Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT,Chevesne
Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT,Rotengle
Station numero 1 - MEUDON,Ablette
Station numero 1 - MEUDON,Barbeau fluviatile
Station numero 1 - MEUDON,Chabot
Station numero 1 - MEUDON,Chabot
Station numero 1 - MEUDON,Chabot
Station numero 1 - MEUDON,Chevesne
Station numero 1 - MEUDON,Chevesne
Station numero 1 - MEUDON,Chevesne
Station numero 1 - MEUDON,Gardon
Station numero 1 - MEUDON,Gardon
Station numero 1 - MEUDON,Gardon
Station numero 1 - MEUDON,Gardon
Station numero 1 - MEUDON,Gardon
Station numero 1 - MEUDON,Hotu
Station numero 1 - MEUDON,Perche commune
Station numero 1 - MEUDON,Perche soleil
Station numero 1 - MEUDON,Rotengle
Station numero 1 - MEUDON,Rotengle
Station numero 1 - MEUDON,Silure
Station numero 1 - MEUDON,Vandoise
Station numero 1 - MEUDON,Vandoise
Station numero 2 - SEVRES,Ablette
Station numero 2 - SEVRES,Ablette
Station numero 2 - SEVRES,Bouviere
Station numero 2 - SEVRES,Breme sp.
Station numero 2 - SEVRES,Breme sp.
Station numero 2 - SEVRES,Chabot
Station numero 2 - SEVRES,Chabot
Station numero 2 - SEVRES,Chabot
Station numero 2 - SEVRES,Chabot
